no,sentence,case,label_adam,reason_adam,label_anthony,reason_anthony,label_yoshua,reason_yoshua
1398,manggil temen cowoknya sayang.,fw,neutral,-,positive,pujian,neutral,-
1399,Nah,fw,neutral,-,neutral,-,neutral,-
1400,menurut dia si cowok. Bener ya.,fw,neutral,-,neutral,-,neutral,-
1401,Menurut si cowok ini,fw,neutral,-,neutral,-,neutral,-
1402,yang dituduh ini bahwa,fw,neutral,-,neutral,-,neutral,-
1403,itu wajar sesama cowok memanggil sayang.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
1404,Ya mungkin wajar. Lu pernah,fw,neutral,-,neutral,-,neutral,-
1405,manggil sayang? Enggak pernah. Yang waktu lu jadian?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1406,Enggak juga. Manggilnya Vicky.,fw,neutral,-,neutral,-,neutral,-
1407,Kan pacaran kan demi ngebantu kawan aja itu,fw,neutral,-,positive,pujian,neutral,-
1408,sebenarnya. Berarti,fw,neutral,-,neutral,-,neutral,-
1409,lu gak pernah manggil sayang? Enggak pernah.,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1410,Pernah gak lu dari dalam hidup lu laki-laki,fw,neutral,-,neutral,-,neutral,-
1411,manggil sayang sesama gitu?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1412,Di luar anak ya? Di luar anak ya?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1413,Di luar anak?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1414,Kayaknya enggak pernah deh. Make sense gak,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1415,kalau kita sesama cowok manggil sayang? Nah ini masalahnya,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
1416,kita tuh gak bisa,fw,positive,ketakutan,neutral,-,negative,ketakutan
1417,naruh kebiasaan kita,fw,positive,harapan,neutral,-,neutral,-
1418,dan budaya kita kepada setiap orang,fw,neutral,-,neutral,-,neutral,-
1419,kan beda-beda. Kan kita gak tau pergaulan kita. Bisa aja ya?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1420,Bisa. Gini deh. Kadang-kadang,fw,neutral,-,neutral,-,neutral,-
1421,"di pergaulan kita, kita langsung bilang",fw,neutral,-,neutral,-,neutral,-
1422,aneh-aneh aja lu njing gitu.,fw,negative,hinaan,negative,hinaan,negative,hinaan
1423,Santai aja kali nyet gitu. Kita santai.,fw,negative,hinaan,negative,hinaan,negative,hinaan
1424,Betul. Tapi kan kadang-kadang pindah tongkrong kan,fw,neutral,-,neutral,-,neutral,-
1425,orang bisa kaget loh. Apaan maksud lu manggil,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1426,gue nyet? Tersinggung. Iya.,fw,negative,hinaan,negative,hinaan,negative,hinaan
1427,Kayak gitu aja kan pertanda,fw,neutral,-,neutral,-,neutral,-
1428,bahwa yang jadi kebiasaan kita tuh,fw,neutral,-,neutral,-,neutral,-
1429,belum tentu bisa jadi kebiasaan umum.,fw,neutral,-,neutral,-,neutral,-
1430,Sama aja. Buat kita aneh,fw,positive,ketidakpuasan,neutral,-,negative,ketidakpuasan
1431,ngeliat cowok manggil sayang. Walaupun,fw,neutral,-,positive,pujian,positive,pujian
1432,gue curiga sih. Kayaknya sih emang.,fw,neutral,-,neutral,-,neutral,-
1433,Kalo yang itu. Lu lagi bener.,fw,neutral,-,neutral,-,neutral,-
1434,Udah bener. Iya gak. Tapi kalaupun,fw,neutral,-,neutral,-,neutral,-
1435,dia ternyata emang biasa ngomong,fw,neutral,-,neutral,-,neutral,-
1436,sayang. Oh gue,fw,positive,ketidakpuasan,neutral,-,positive,pujian
1437,gue,fw,neutral,-,neutral,-,neutral,-
1438,Kenal lagi kan lu? Bukan.,fw,neutral,-,neutral,-,neutral,-
1439,Udah lu ngaku aja. Enggak.,fw,neutral,-,neutral,-,neutral,-
1440,Ini baju lu dalemnya pelangi kan?,fw,neutral,-,neutral,-,neutral,-
1441,Hati gue pelangi.,fw,neutral,-,positive,pujian,positive,pujian
1442,Gue suka pelangi lagi.,fw,neutral,-,positive,pujian,positive,pujian
1443,Abis ini gue kena juga.,fw,neutral,-,neutral,-,neutral,-
1444,Kena juga. Gue suka warna warna pelangi.,fw,neutral,-,neutral,-,neutral,-
1445,Gue tuh,fw,neutral,-,neutral,-,neutral,-
1446,siapa ya? Gue kok sekarang lupa.,fw,neutral,-,neutral,-,neutral,-
1447,Gue inget ada oh,fw,neutral,-,neutral,-,neutral,-
1448,babang pabungkas gue panggil beb.,fw,neutral,-,neutral,-,neutral,-
1449,Halo beb. Gitu. Gimana beb?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1450,Tapi bercanda aja. Beb karena,fw,neutral,-,neutral,-,neutral,-
1451,plesetan. Enggak.,fw,neutral,-,neutral,-,neutral,-
1452,Baby baby gitu. Lu juga kadang,fw,neutral,-,neutral,-,neutral,-
1453,gue bisa whatsapp lu. Oh iya dia dia panggil gue beb.,fw,neutral,-,neutral,-,neutral,-
1454,Iya kan? Gimana beb? Gitu kan? Makanya gue,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
1455,agak takut.,fw,neutral,-,negative,pengancaman,negative,ketakutan
1456,Kenapa sih lu insecure? Lu yang insecure,fw,neutral,-,negative,pengancaman,negative,ketidakpuasan
1457,sebagai seorang laki-laki. Kalo lu insecure,fw,neutral,-,neutral,-,neutral,-
1458,sebagai seorang laki-laki ya santai aja.,fw,neutral,-,neutral,-,neutral,-
1459,Agak jarang. Lu pernah gak sih?,fw,neutral,-,neutral,ketidakpuasan,neutral,-
1460,Denny Sumargo. Ini adalah,fw,neutral,-,neutral,-,neutral,-
1461,headline kita. Denny Sumargo sebenernya,fw,neutral,-,neutral,-,neutral,-
1462,deep down inside,fw,neutral,-,neutral,-,neutral,-
1463,closeted gay.,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
1464,Kayak gini deh.,fw,neutral,-,neutral,-,neutral,-
1465,Gue kan suka pake baju pink.,fw,neutral,-,neutral,-,positive,kepuasan
1466,Karena gue seneng warnanya aja. Sneaker gue pink.,fw,positive,kepuasan,neutral,-,positive,kepuasan
1467,Gue juga suka pink. Patu basket gue pink.,fw,neutral,-,neutral,-,positive,kepuasan
1468,Waktu kita tanding. Dan gak banyak cowok berani pake pink.,fw,neutral,-,neutral,-,neutral,-
1469,Betul. Gue percayanya real men,fw,neutral,-,neutral,-,neutral,-
1470,wear pink.,fw,neutral,-,neutral,-,neutral,-
1471,Gue gak takut dibilang ih pake pink emang,fw,neutral,-,neutral,-,positive,kepuasan
1472,banci ya gitu. Lah orang gue secure,fw,neutral,-,negative,seksualitas,negative,seksualitas
1473,sama ke laki-lakian gue. Kalo gue secure sama,fw,neutral,-,neutral,-,neutral,-
1474,"ke laki-lakian gue, gue mau pake baju pink",fw,neutral,-,neutral,-,positive,kepuasan
1475,mau pake rock sekalipun. Kalo gue laki,fw,neutral,-,neutral,-,neutral,-
1476,iya laki aja. Gue juga,fw,neutral,-,neutral,-,neutral,-
1477,"ngerasa untuk orang yang bilang, iya gue bukan gay",fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
1478,gue bukan gay. Bro kalo emang bukan gay santai aja,fw,negative,seksualitas,negative,seksualitas,negative,seksualitas
1479,gak usah defensive gitu.,fw,neutral,-,negative,ketidakpuasan,negative,ketakutan
1480,Gue tuh punya prinsip orang minder mudah tersinggung.,fw,neutral,-,negative,hinaan,negative,ketidakpuasan
1481,Kalo lu minder,fw,neutral,-,neutral,-,neutral,-
1482,mudah tersinggung. Kalo secure,fw,neutral,-,neutral,-,neutral,-
1483,gak akan mudah tersinggung. Kayak misalnya,fw,positive,pujian,positive,pujian,positive,pujian
1484,ah gak lucu lu gitu misalnya.,fw,neutral,-,neutral,-,neutral,-
1485,Nah gue mah tau gue lucu.,fw,positive,pujian,positive,pujian,positive,pujian
1486,Gak perlu terlalu,fw,neutral,-,neutral,-,neutral,-
1487,tersinggung gitu. Tapi kalo misalnya gue juga,fw,neutral,-,neutral,-,neutral,-
1488,"masih ragu, gue gampang tersinggung.",fw,neutral,-,negative,hinaan,negative,hinaan
1489,Misalkan contohnya gini. Kalo gue main basket,fw,neutral,-,neutral,-,neutral,-
1490,gue sekarang udah klip basket gue. Sentar ada yang bilang,fw,neutral,-,neutral,-,neutral,-
1491,si Panji ternyata gak jago ya main basket,fw,negative,hinaan,negative,hinaan,negative,hinaan
1492,gue mah gak tersinggung santai gue. Karena gue tau,fw,neutral,-,positive,pujian,neutral,
1493,gue bisa main basket. Lu juga waktu main basket,fw,neutral,-,positive,kepuasan,positive,kepuasan
1494,mungkin lu juga agak-agak kaget dengan skill gue,fw,positive,kepuasan,positive,kepuasan,positive,kepuasan
1495,tipis-tipis ada kan? Gak terlalu sih.,fw,neutral,-,neutral,-,neutral,-
1496,Oke gak apa-apa. Nanti kita rematch lah,fw,positive,kepuasan,neutral,-,neutral,-
1497,ih bener. Boleh lah.,fw,positive,harapan,neutral,-,neutral,-
1498,Nah tapi kalo gue naikin klip bola,fw,neutral,-,neutral,-,neutral,-
1499,"terus dia bilang, si Panji ternyata gak jago ya",fw,negative,hinaan,neutral,-,negative,hinaan
1500,gue insecure tuh. Gue tersinggung. Gak gue jago,fw,negative,ketakutan,negative,ketidakpuasan,negative,ketakutan
1501,karena emang gue insecure,fw,,,negative,ketidakpuasan,,
1502,dengan skill bola gue. Karena gue tau,fw,,,positive,pujian,,
1503,emang gue gak jago. Lu emang gak jago,fw,,,negative,hinaan,,
1504,kenapa lu insecure? Nah itu dia,fw,,,neutral,-,,
1505,karena gue pengen diliat,fw,,,neutral,harapan,,
1506,jago. Makanya gue taro klip itu.,fw,,,neutral,-,,
1507,Oh itu salah lu. Orang lu,fw,,,neutral,-,,
1508,kagak jago kan ibaratnya gitu. Betul.,fw,,,negative,hinaan,,
1509,Itulah kenapa gue bilang orang minder,fw,,,negative,hinaan,,
1510,mudah tersinggung. Kalo dia minder dengan,fw,,,neutral,-,,
1511,misalnya agamanya dia mudah tersinggung.,fw,,,neutral,-,,
1512,Kalo dia minder dengan kejantananya dia mudah tersinggung.,fw,,,negative,hinaan,,
1513,Kalo gue bilang orang tidak jujur mudah,fw,,,negative,hinaan,,
1514,tersinggung. Iya termasuk. Kalo dia jujur,fw,,,neutral,-,,
1515,kayak gue kan gue biasanya main bola ya,fw,,,neutral,-,,
1516,tapi kan gue jujur. Gue gak terlalu jago main bola.,fw,,,positive,pujian,,
1517,Tapi berarti lu secure dengan itu.,fw,,,positive,pujian,,
1518,Jujur! Iya jujur,fw,,,positive,pujian,,
1519,karena lu secure. Lu gak ngerasa,fw,,,neutral,-,,
1520,bermasalah. Emang gak apa-apa,fw,,,neutral,-,,
1521,kalo gue dianggap jelek main bola.,fw,,,negative,ketidakpuasan,,
1522,Secure. Kalo lu insecure,fw,,,negative,hinaan,,
1523,dituduh jadi tersinggung.,fw,,,negative,-,,
1524,Itu loh poin gue. Itu karena lu pengen,fw,,,neutral,-,,
1525,keliatan bagus tapi lu tidak mau,fw,,,neutral,-,,
1526,melalui proses. Betul. Itu,fw,,,neutral,-,,
1527,poinnya. Nah ini gue udah sampe nih,fw,,,neutral,-,,
1528,dari semua obrolan kita yang berantakan sekali ini ya.,fw,,,negative,ketidakpuasan,,
1529,Kita nih akhirnya paham,fw,,,positive,pujian,,
1530,bahwa,fw,,,neutral,-,,
1531,kita,fw,,,neutral,-,,
1532,punya masalah dengan,fw,,,neutral,-,,
1533,pribadi psikologi,fw,,,neutral,-,,
1534,di Indonesia ini banyak nih orang-orang bermasalah.,fw,,,negative,hinaan,,
1535,Insecurity tinggi,fw,,,negative,ketidakpuasan,,
1536,dikarenakan gaya hidup,fw,,,neutral,-,,
1537,mungkin. Contoh,fw,,,neutral,-,,
1538,yang dilihat. Iya. Iya kan?,fw,,,neutral,-,,
1539,Cara mengambil,fw,,,neutral,-,,
1540,apa? Asumsi,fw,,,neutral,-,,
1541,cara berpikir,fw,,,neutral,-,,
1542,struktur berpikir,fw,,,neutral,-,,
1543,membuat kita ini menjadi banyakan ya,fw,,,neutral,-,,
1544,pribadi-pribadi yang gampang dimanipulasi,fw,,,negative,hinaan,,
1545,gampang dibakar,fw,,,negative,pengancaman,,
1546,gampang dibikin tersinggung,fw,,,negative,kepuasan,,
1547,terus nanti kita dikontrol oleh,fw,,,neutral,-,,
1548,keadaan oleh orang-orang yang lebih,fw,,,neutral,-,,
1549,memiliki power.,fw,,,positive,pujian,,
1550,Berani anda ngomong kaya gini.,fw,,,positive,pujian,,
1551,Ini kan kita bicara. Luar biasa.,fw,,,positive,kepuasan,,
1552,Ini kita kebicara. Akan ada pihak-pihak,fw,,,neutral,-,,
1553,gelap diluar sana yang ngeliat,fw,,,neutral,-,,
1554,Dennis Margo. Uh bahaya Dennis Margo.,fw,,,negative,pengancaman,,
1555,Ini gak tayang kok.,fw,,,neutral,-,,
1556,Ini gak tayang.,fw,,,neutral,-,,
1557,Itu aja udah,fw,,,neutral,-,,
1558,keda itu masalah ya.,fw,,,neutral,-,,
1559,Nah ini kan artinya disini yang,fw,,,neutral,-,,
1560,gue tangkep dari lu. Lucu banget sih.,fw,,,neutral,-,,
1561,Lu kan berpikir,fw,,,neutral,-,,
1562,tentang mentaliti orang Indonesia.,fw,,,neutral,-,,
1563,Lu berpikir tentang jalan,fw,,,neutral,-,,
1564,bagaimana orang Indonesia berpikir.,fw,,,neutral,-,,
1565,Ini kan kepedulian lu terhadap itu tinggi,fw,,,positive,pujian,,
1566,jadinya kan. Gue udah gak ngeliat nih,fw,,,neutral,-,,
1567,eksistensi image dimana lu ingin,fw,,,neutral,-,,
1568,membangun itu.,fw,,,neutral,-,,
1569,Karena kalau lu ingin membangun image,fw,,,neutral,-,,
1570,orang baik segala macem. Ini bukan,fw,,,neutral,-,,
1571,jalan yang lu tempuh nih.,fw,,,neutral,-,,
1572,Jalan lu udah beda nih. Nah yang,fw,,,neutral,ketidakpuasan,,
1573,gue mulai bingung adalah kenapa,fw,,,neutral,ketidakpuasan,,
1574,lu akhirnya membawa jalan ini,fw,,,neutral,-,,
1575,semua ke Amerika.,fw,,,neutral,-,,
1576,Oke? Gue sih nangkep poinnya.,fw,,,positive,kepuasan,,
1577,Gue nangkep poinnya bahwa lu pengen menjadi,fw,,,positive,pujian,,
1578,orang Indonesia pertama yang membuka jembatan,fw,,,positive,pujian,,
1579,buat yang lain kan. Jadi lu,fw,,,neutral,-,,
1580,yang menjadi istilahnya,fw,,,neutral,-,,
1581,orang yang take risknya,fw,,,neutral,-,,
1582,di depan gitu loh. Gambling lah.,fw,,,negative,-,,
1583,Gambling. Lu bawa keluarga ya? Bawa keluarga,fw,,,neutral,-,,
1584,juga ya? Anak sama istri gue.,fw,,,neutral,-,,
1585,Berarti lumayan gede gamblingnya ya?,fw,,,negative,,,
1586,Oke. Nah what is the reason?,fw,,,neutral,ketidakpuasan,,
1587,Ada yang bilang katanya lu udah gak laku,fw,,,negative,hinaan,,
1588,di Indo. Ya bener ya?,fw,,,neutral,-,,
1589,Maaf ya. Iya bener bener.,fw,,,neutral,-,,
1590,Gue denger itu juga paling gue ketawa.,fw,,,negative,hinaan,,
1591,Ada yang bilang lu udah gak laku di Indo.,fw,,,negative,hinaan,,
1592,Ada yang macem-macem. Nah kalau lu sendiri pribadi,fw,,,neutral,-,,
1593,lu ngelakuin itu,fw,,,neutral,-,,
1594,apa? Deep down.,fw,,,neutral,-,,
1595,Ada ambisi pribadi,fw,,,positive,kepuasan,,
1596,ada alasan pribadi sama ada alasan yang lebih umum.,fw,,,neutral,-,,
1597,Umum dulu.,fw,,,neutral,-,,
1598,Jadi jembatan.,fw,,,neutral,-,,
1599,Karena orang di Amerika,fw,,,neutral,-,,
1600,orang Amerika tuh ngeblank loh,fw,,,negative,hinaan,,
1601,diceritain soal Indonesia. Kita pikir Bali,fw,,,neutral,-,,
1602,at least mereka tau. Enggak juga.,fw,,,neutral,-,,
1603,Yang tau Bali cuman perempuan yang,fw,,,neutral,-,,
1604,sangat suka yoga atau cowok,fw,,,neutral,-,,
1605,yang sangat suka surfing.,fw,,,neutral,-,,
1606,Bener. Sisanya gak ada yang tau. Apalagi orang Amerika,fw,,,neutral,-,,
1607,kan ini banget ya. Apa ya,fw,,,neutral,-,,
1608,istilahnya ya? Hanya,fw,,,neutral,-,,
1609,self centered orang Amerika tuh. Orang Amerika tuh,fw,,,negative,hinaan,,
1610,"jarang ada yang punya paspor, gak ada yang keluar negeri",fw,,,neutral,-,,
1611,paling mentok-mentok Kanada atau Meksiko.,fw,,,neutral,-,,
1612,Mereka tuh gak tau dunia seperti apa.,fw,,,neutral,ketidakpuasan,,
1613,Dan buat gue tuh gemes. Karena,fw,,,neutral,-,,
1614,tidakkah kita merasa di ASEAN,fw,,,neutral,ketidakpuasan,,
1615,kita tuh adalah penguasanya. Kan Indonesia,fw,,,positive,pujian,,
1616,suka gitu kan? Cita negara terbesar di ASEAN.,fw,,,positive,pujian,,
1617,Di Amerika Serikat gak ada yang tau Indonesia.,fw,,,neutral,-,,
1618,Dan bahkan gak peduli.,fw,,,negative,-,,
1619,Iya. Filipin banyak.,fw,,,neutral,-,,
1620,Filipin banyak.,fw,,,neutral,-,,
1621,Singapur dikenal. China dikenal.,fw,,,neutral,-,,
1622,Betul. Indonesia aja nih,fw,,,neutral,-,,
1623,yang orang pada ngeblank. Padahal orangnya,fw,,,neutral,-,,
1624,banyak banget kan. Betul.,fw,,,neutral,-,,
1625,Pada saat bersamaan gue tuh memang selalu seneng,fw,,,positive,kepuasan,,
1626,cerita soal Indonesia. Gue tuh seneng banget.,fw,,,positive,kepuasan,,
1627,Gue tuh sering ya. Ini banyak yang gak tau. Tapi gue sering banget,fw,,,neutral,-,,
1628,dapet job. Cerita soal Indonesia,fw,,,neutral,-,,
1629,ke orang asing. Sering tuh gue dapet.,fw,,,neutral,-,,
1630,Kenapa? Gak tau. Karena kayaknya mereka,fw,,,neutral,-,,
1631,orang-orang pemberi pekerjaan ini kayak contohnya,fw,,,neutral,-,,
1632,"Andy Cole, striker dari Manchester United",fw,,,neutral,-,,
1633,waktu itu pernah ke Indonesia.,fw,,,neutral,-,,
1634,Kerja sama Telco gitu lah.,fw,,,neutral,-,,
1635,Terus si Telco ini nyari orang Indonesia,fw,,,neutral,-,,
1636,yang bisa cerita soal Indonesia ke Andy Cole.,fw,,,neutral,-,,
1637,Gue yang dibayar. Gue dibayar untuk,fw,,,neutral,-,,
1638,cerita soal Indonesia. Terus waktu itu ada,fw,,,neutral,-,,
1639,tapi gue lupa nih negaranya apa.,fw,,,neutral,-,,
1640,Negara mereka selatan. Ada Youtuber.,fw,,,neutral,-,,
1641,Jadi ada kerja sama antara,fw,,,neutral,-,,
1642,KBRI Indonesia,fw,,,neutral,-,,
1643,di negara tersebut dengan,fw,,,neutral,-,,
1644,KBRI negara tersebut di Indonesia.,fw,,,neutral,-,,
1645,Jadi kita ngirim Youtuber ke negara tersebut.,fw,,,neutral,-,,
1646,Youtuber disana dikirim ke kita.,fw,,,neutral,-,,
1647,Tukeran. Terus kayak,fw,,,neutral,-,,
1648,"ngeliat Jogja, ngeliat Bali,",fw,,,neutral,-,,
1649,ngeliat Jakarta. Lalu ada satu hari,fw,,,neutral,-,,
1650,dimana mereka ngumpul semuanya,fw,,,neutral,-,,
1651,ngobrol sama gue.,fw,,,neutral,-,,
1652,Gue disuruh cerita soal Indonesia ke mereka.,fw,,,neutral,-,,
1653,Jadi tuh gue selalu seneng cerita soal Indonesia.,fw,,,positive,kepuasan,,
1654,Berarti interes mereka sebenernya tentang Indonesia di gede.,fw,,,neutral,-,,
1655,Mereka kaget sekali ketika tau Indonesia.,fw,,,neutral,kepuasan,,
1656,Tapi tidak ada wadah,fw,,,neutral,-,,
1657,orang ataupun itu yang,fw,,,neutral,-,,
1658,mewakilkan. Betul. Makanya,fw,,,neutral,-,,
1659,"di New York, Jogja tuh",fw,,,neutral,-,,
1660,banyak cerita tentang Indonesia. Gue liat.,fw,,,neutral,-,,
1661,Gue sempet. Gue mantep ke Instagram. Banyak banget cerita,fw,,,neutral,-,,
1662,soal Indonesia. Dan banyak yang lucu kok.,fw,,,positive,pujian,,
1663,Jadi gini ya. Gue baru sadar,fw,,,neutral,-,,
1664,setelah berapa bulan. Kan gue baru bulan-bulan,fw,,,neutral,-,,
1665,ga lucu tuh disitu. Terus gue bingung. Oh sempet,fw,,,neutral,ketidakpuasan,,
1666,lu diliat garing gitu?,fw,,,neutral,-,,
1667,Sampai sekarang juga masih kadang suka garing.,fw,,,neutral,ketidakpuasan,,
1668,Engga. Lu lagi ini.,fw,,,neutral,-,,
1669,Bule-bule. Sepi-sepi.,fw,,,neutral,-,,
1670,Open mic ga ada yang ketawa.,fw,,,negative,ketidakpuasan,,
1671,Gue kuliat. Gue jujur nih.,fw,,,neutral,-,,
1672,Sebelum gue pergi. Gue agak sedih.,fw,,,negative,ketidakpuasan,,
1673,Gue ngeliat seorang panji,fw,,,neutral,-,,
1674,yang kalo gue liat disini udah sampe,fw,,,neutral,-,,
1675,di titik satu,fw,,,neutral,-,,
1676,Glora Bung Karno nih bisa nih.,fw,,,neutral,-,,
1677,Anjir disana tuh barbar ga jelas.,fw,,,negative,-,,
1678,Sumpah gue ga bohong. Bener.,fw,,,neutral,-,,
1679,Tapi gue nangkep.,fw,,,neutral,-,,
1680,Anjir. Segini jauh lu perginji.,fw,,,negative,-,,
1681,Demi untuk apa yang,fw,,,neutral,-,,
1682,lu suka? Ya itu kan,fw,,,neutral,-,,
1683,misi besarnya untuk memperdayakan Indonesia.,fw,,,negative,pengancaman,,
1684,Tapi gue juga punya ambisi pribadi.,fw,,,positive,ketidakpuasan,,
1685,Ya pribadinya apa?,fw,,,neutral,ketidakpuasan,,
1686,Rasanya sih semua orang yang stand up,fw,,,neutral,-,,
1687,atau banyak banget orang,fw,,,neutral,-,,
1688,di Indonesia yang stand up. Pasti pernah terpikir,fw,,,neutral,-,,
1689,bisa ga gue stand up di Amerika. Rasanya gitu deh.,fw,,,negative,ketidakpuasan,,
1690,Termasuk gue. Bedanya,fw,,,neutral,-,,
1691,gue cukup,fw,,,neutral,-,,
1692,niat untuk ngelakuin aja. Soalnya,fw,,,neutral,-,,
1693,gue ga jokoy orang Filipin.,fw,,,neutral,-,,
1694,Si Uncle Roger Najelang,fw,,,neutral,-,,
1695,orang Malaysia. Orang Malaysia.,fw,,,neutral,-,,
1696,Si Ronnie Cheng orang Malaysia.,fw,,,neutral,-,,
1697,Terus kita kan bertanya-tanya,fw,,,neutral,ketidakpuasan,,
1698,kapan ya orang Indonesia ada di titik seperti itu.,fw,,,neutral,harapan,,
1699,Tapi gue nengok kanan kiri nunggu yang lain,fw,,,neutral,harapan,,
1700,masa gue mau berharap orang lain?,fw,,,neutral,harapan,,
1701,Mereka lagi sibuk di TV.,fw,,,neutral,-,,
1702,Kiki Sabutri juga.,fw,,,neutral,-,,
1703,Bintang Emon Ngonten.,fw,,,neutral,-,,
1704,Yaudah gue pikir daripada,fw,,,neutral,-,,
1705,"berharap orang lain, mending gue yang",fw,,,neutral,-,,
1706,coba aja sendiri. Kebetulan gue punya kemampuannya.,fw,,,positive,harapan,,
1707,Rezekinya juga ada.,fw,,,positive,kepuasan,,
1708,Projection karirnya udah pas. Yaudah gue berangkat.,fw,,,neutral,-,,
1709,Udah itu doang. Jadi secara pribadi,fw,,,neutral,-,,
1710,ambisi gue adalah pengen tau aja bisa ga sih?,fw,,,neutral,harapan,,
1711,Dan bisa gue jamin. Gue ya,fw,,,neutral,-,,
1712,bilang sama anak-anak stand up di Indonesia.,fw,,,neutral,-,,
1713,"Kayak disini kan ada Herman Jonek, Vilo,",fw,,,neutral,-,,
1714,segala macem. Gue bilang sama mereka,fw,,,neutral,-,,
1715,ke anak-anak stand up,fw,,,neutral,-,,
1716,"di Indonesia, ga usah takut",fw,,,positive,harapan,,
1717,kesana. Kita kesana dengan,fw,,,neutral,-,,
1718,"bahasa Inggris adanya,",fw,,,neutral,-,,
1719,sangat bisa bertarung. Menang bahkan.,fw,,,positive,harapan,,
1720,"Di New York tuh banyak banget yang ga lucu, ga mau belajar,",fw,,,negative,hinaan,,
1721,"ga nunggu, dan segala macem ya.",fw,,,neutral,-,,
1722,Dan mereka bisa takut. Tapi bahasa Inggris gue biasa aja.,fw,,,negative,ketakutan,,
1723,New York itu kota yang saking,fw,,,neutral,-,,
1724,banyaknya imigrannya. Mereka tuh terbiasa,fw,,,neutral,-,,
1725,denger broken English. Ngerti mereka.,fw,,,neutral,-,,
1726,Gue waktu awal-awal khawatir grammar gue bener ga,fw,,,negative,ketidakpuasan,,
1727,ayah gitu. Dan mereka tidak menghina loh.,fw,,,positive,pujian,,
1728,"Iya, engga engga. Mereka biasa banget.",fw,,,neutral,-,,
1729,Mereka tuh tidak menghina kayak kita di Indonesia disini tuh,fw,,,positive,pujian,,
1730,kalo kita ngomong Inggris kita hina ini. Udah bukan,fw,,,negative,ketidakpuasan,,
1731,"bahasa kita, dia hina pula kita.",fw,,,negative,ketidakpuasan,,
1732,Orang sana bahasanya mereka dia ga hina.,fw,,,positive,pujian,,
1733,"Biasa aja. Orang waktu awal-awal,",fw,,,neutral,-,,
1734,"gue tuh ketika stand up, di New York tuh masih suka yang",fw,,,neutral,-,,
1735,"eh, maksud gue,",fw,,,neutral,-,,
1736,eh gimana sih? Masih suka kayak gitu.,fw,,,neutral,ketidakpuasan,,
1737,Lu nyari vocabulary-nya.,fw,,,neutral,-,,
1738,Terus gue ditanya sama,fw,,,neutral,-,,
1739,"temen gue yang komika orang New York,",fw,,,neutral,-,,
1740,"ada Josh sama Kevin,",fw,,,neutral,-,,
1741,Josh Palets sama Kevin Sanchez.,fw,,,neutral,-,,
1742,Kendala lu apa? Gue bilang gue takut grammar,fw,,,neutral,ketakutan,,
1743,"gue jelek. Ga ada yang peduli bro, kata dia.",fw,,,positive,pujian,,
1744,"Ini semua broken English. Dan bener, lama-lama gue",fw,,,neutral,-,,
1745,"liat ada orang yang, orang Chinese",fw,,,neutral,-,,
1746,"Inggrisnya ga gitu rapih gitu,",fw,,,neutral,-,,
1747,tapi ketawa-ketawa aja. Ada orang,fw,,,neutral,kepuasan,,
1748,Meksiko yang,fw,,,neutral,-,,
1749,"bahasa Inggrisnya ga terlalu rapih, tapi ketawa-ketawa aja.",fw,,,neutral,-,,
1750,Gue sadar bahwa New York tuh banyak banget,fw,,,neutral,-,,
1751,pendatangnya udah terbiasa denger broken English.,fw,,,neutral,pujian,,
1752,Mereka ngerti maksudnya apa.,fw,,,positive,pujian,,
1753,Sehingga grammar tuh ga terlalu jadi masalah.,fw,,,positive,kepuasan,,
1754,"Nah,",fw,,,neutral,-,,
1755,"akhirnya dengan berada di New York, gue tuh",fw,,,neutral,-,,
1756,punya kesimpulan bahwa kita tuh bisa mendunia.,fw,,,positive,pujian,,
1757,"Cuman, usahanya menuju kesana",fw,,,neutral,harapan,,
1758,mesti dipancing. Dan itulah kenapa gue kesana,fw,,,neutral,-,,
1759,gue pengen mancing.,fw,,,neutral,-,,
1760,Supaya orang berani gitu. Dan ketika,fw,,,positive,pujian,,
1761,"mereka kesana, gue juga cukup yakin banyak yang",fw,,,neutral,-,,
1762,bisa lebih lucu daripada gue.,fw,,,positive,pujian,,
1763,Itu aja ambisi pribadi gue.,fw,,,positive,pujian,,
1764,"Di tatanan yang lebih tinggi,",fw,,,neutral,-,,
1765,gue kayak ga terima,fw,,,negative,ketidakpuasan,,
1766,kenapa orang ga tau Indonesia?,fw,,,negative,ketidakpuasan,,
1767,Kayak ga terima.,fw,,,negative,ketidakpuasan,,
1768,Mesti ada yang cerita gitu.,fw,,,neutral,-,,
