no;sentence;case;label_adam;reason_adam;label_anthony;reason_anthony;label_yoshua;reason_yoshua;mdhugol_pred;mdhugol_conf;poerwiyanto_pred;poerwiyanto_conf;hilmansw_pred;hilmansw_conf;ayameRushia_pred;ayameRushia_conf
1597;Umum dulu.;fw;;;neutral;-;;;neutral;0.9437864422798157;positive;0.7971833944320679;neutral;0.9998859167098999;neutral;0.9988394379615784
1598;Jadi jembatan.;fw;;;neutral;-;;;neutral;0.8371794819831848;positive;0.5165248513221741;neutral;0.9998389482498169;positive;0.9450124502182007
1599;Karena orang di Amerika;fw;;;neutral;-;;;negative;0.5476379990577698;positive;0.9829357862472534;neutral;0.9997912049293518;negative;0.9974237680435181
1600;orang Amerika tuh ngeblank loh;fw;;;negative;hinaan;;;positive;0.9753912687301636;positive;0.9948750138282776;neutral;0.9997796416282654;negative;0.9998511075973511
1601;diceritain soal Indonesia. Kita pikir Bali;fw;;;neutral;-;;;negative;0.9856293797492981;positive;0.7859730124473572;neutral;0.9993879795074463;negative;0.6577886939048767
1602;at least mereka tau. Enggak juga.;fw;;;neutral;-;;;negative;0.9280679821968079;positive;0.982029139995575;neutral;0.9998829364776611;negative;0.9996076226234436
1603;Yang tau Bali cuman perempuan yang;fw;;;neutral;-;;;negative;0.8029917478561401;positive;0.9964218139648438;neutral;0.9998514652252197;negative;0.9995641112327576
1604;sangat suka yoga atau cowok;fw;;;neutral;-;;;positive;0.9920485615730286;negative;0.99797123670578;positive;0.9998743534088135;positive;0.9996955394744873
1605;yang sangat suka surfing.;fw;;;neutral;-;;;positive;0.9690966010093689;negative;0.9982247948646545;positive;0.9991195797920227;positive;0.9997628331184387
1606;Bener. Sisanya gak ada yang tau. Apalagi orang Amerika;fw;;;neutral;-;;;negative;0.9944429993629456;positive;0.9979807734489441;neutral;0.9988347887992859;negative;0.9997022747993469
1607;kan ini banget ya. Apa ya;fw;;;neutral;-;;;negative;0.9922834038734436;negative;0.6075267791748047;neutral;0.9986580610275269;negative;0.9996883869171143
1608;istilahnya ya? Hanya;fw;;;neutral;-;;;neutral;0.7217305898666382;positive;0.9558553099632263;neutral;0.9997865557670593;negative;0.997585654258728
1609;self centered orang Amerika tuh. Orang Amerika tuh;fw;;;negative;hinaan;;;negative;0.9930493831634521;neutral;0.8199170231819153;neutral;0.9997772574424744;negative;0.9998477697372437
1610;jarang ada yang punya paspor, gak ada yang keluar negeri;fw;;;neutral;-;;;negative;0.9471009969711304;neutral;0.9239475727081299;neutral;0.9989609718322754;negative;0.9997826218605042
1611;paling mentok-mentok Kanada atau Meksiko.;fw;;;neutral;-;;;negative;0.9834785461425781;negative;0.4795294404029846;neutral;0.9990109205245972;negative;0.9998281002044678
1612;Mereka tuh gak tau dunia seperti apa.;fw;;;neutral;ketidakpuasan;;;negative;0.9975312352180481;positive;0.9735707640647888;neutral;0.7047096490859985;negative;0.9998447895050049
1613;Dan buat gue tuh gemes. Karena;fw;;;neutral;-;;;positive;0.6008787155151367;positive;0.9646342396736145;positive;0.9951897859573364;negative;0.9994352459907532
1614;tidakkah kita merasa di ASEAN;fw;;;neutral;ketidakpuasan;;;negative;0.5624796152114868;positive;0.9885522127151489;neutral;0.9998809099197388;positive;0.6482927203178406
1615;kita tuh adalah penguasanya. Kan Indonesia;fw;;;positive;pujian;;;negative;0.7027114629745483;positive;0.947757363319397;neutral;0.999884843826294;negative;0.9996645450592041
1616;suka gitu kan? Cita negara terbesar di ASEAN.;fw;;;positive;pujian;;;positive;0.9938416481018066;negative;0.9966163039207458;neutral;0.9998660087585449;positive;0.9994791150093079
1617;Di Amerika Serikat gak ada yang tau Indonesia.;fw;;;neutral;-;;;negative;0.9247487783432007;neutral;0.9124794602394104;neutral;0.9998754262924194;negative;0.9973123073577881
1618;Dan bahkan gak peduli.;fw;;;negative;-;;;negative;0.9962288737297058;negative;0.9726648330688477;negative;0.9998310804367065;negative;0.9998098015785217
1619;Iya. Filipin banyak.;fw;;;neutral;-;;;negative;0.7127660512924194;positive;0.5416052341461182;neutral;0.9754580855369568;negative;0.9791678190231323
1620;Filipin banyak.;fw;;;neutral;-;;;neutral;0.6897488236427307;negative;0.8698328733444214;neutral;0.9987508058547974;negative;0.6709626317024231
1621;Singapur dikenal. China dikenal.;fw;;;neutral;-;;;neutral;0.7739092111587524;neutral;0.6992331147193909;neutral;0.9997535347938538;negative;0.9402754306793213
1622;Betul. Indonesia aja nih;fw;;;neutral;-;;;positive;0.8397061228752136;positive;0.9934481978416443;neutral;0.9998800754547119;negative;0.9554559588432312
1623;yang orang pada ngeblank. Padahal orangnya;fw;;;neutral;-;;;negative;0.9877099990844727;positive;0.9975091218948364;neutral;0.9998365640640259;negative;0.999850869178772
1624;banyak banget kan. Betul.;fw;;;neutral;-;;;positive;0.9696226716041565;negative;0.9940176010131836;neutral;0.9998059868812561;positive;0.5774238705635071
1625;Pada saat bersamaan gue tuh memang selalu seneng;fw;;;positive;kepuasan;;;positive;0.9928094148635864;negative;0.9602680802345276;positive;0.9997549653053284;positive;0.9991975426673889
1626;cerita soal Indonesia. Gue tuh seneng banget.;fw;;;positive;kepuasan;;;positive;0.9958813190460205;negative;0.7281543612480164;positive;0.9998338222503662;positive;0.9821158647537231
1627;Gue tuh sering ya. Ini banyak yang gak tau. Tapi gue sering banget;fw;;;neutral;-;;;neutral;0.7386817932128906;negative;0.822803795337677;negative;0.9977737069129944;negative;0.9808796048164368
1628;dapet job. Cerita soal Indonesia;fw;;;neutral;-;;;positive;0.6786546111106873;neutral;0.7852039933204651;neutral;0.9994885921478271;negative;0.9992600083351135
1629;ke orang asing. Sering tuh gue dapet.;fw;;;neutral;-;;;neutral;0.9832538962364197;positive;0.9954360127449036;neutral;0.9998794794082642;negative;0.9998296499252319
1630;Kenapa? Gak tau. Karena kayaknya mereka;fw;;;neutral;-;;;negative;0.9392420053482056;positive;0.9962949156761169;neutral;0.9998555183410645;negative;0.9998014569282532
1631;orang-orang pemberi pekerjaan ini kayak contohnya;fw;;;neutral;-;;;negative;0.766639232635498;positive;0.9839776158332825;neutral;0.999869704246521;negative;0.9997143149375916
1632;Andy Cole, striker dari Manchester United;fw;;;neutral;-;;;neutral;0.9964843988418579;neutral;0.9941434264183044;neutral;0.989984393119812;neutral;0.9966719150543213
1633;waktu itu pernah ke Indonesia.;fw;;;neutral;-;;;neutral;0.9955282807350159;neutral;0.9767816066741943;neutral;0.9998855590820312;neutral;0.998244047164917
1634;Kerja sama Telco gitu lah.;fw;;;neutral;-;;;positive;0.6228127479553223;neutral;0.9182209968566895;neutral;0.9998762607574463;neutral;0.9933615922927856
1635;Terus si Telco ini nyari orang Indonesia;fw;;;neutral;-;;;negative;0.8801000714302063;positive;0.992649257183075;neutral;0.999873161315918;negative;0.9788779616355896
1636;yang bisa cerita soal Indonesia ke Andy Cole.;fw;;;neutral;-;;;neutral;0.9959322810173035;neutral;0.9974784255027771;neutral;0.9998611211776733;neutral;0.9970855116844177
1637;Gue yang dibayar. Gue dibayar untuk;fw;;;neutral;-;;;neutral;0.6223075985908508;negative;0.48575228452682495;neutral;0.9973182082176208;negative;0.9818971753120422
1638;cerita soal Indonesia. Terus waktu itu ada;fw;;;neutral;-;;;neutral;0.6594553589820862;positive;0.7717514038085938;neutral;0.9998648166656494;positive;0.3951275944709778
1639;tapi gue lupa nih negaranya apa.;fw;;;neutral;-;;;negative;0.9264633059501648;positive;0.9957488775253296;negative;0.9989317059516907;negative;0.9996912479400635
1640;Negara mereka selatan. Ada Youtuber.;fw;;;neutral;-;;;neutral;0.8778853416442871;neutral;0.9313215613365173;neutral;0.9996812343597412;positive;0.9757847785949707
1641;Jadi ada kerja sama antara;fw;;;neutral;-;;;positive;0.5214235186576843;negative;0.436496764421463;neutral;0.9998316764831543;neutral;0.997098445892334
1642;KBRI Indonesia;fw;;;neutral;-;;;neutral;0.9583473801612854;negative;0.7794104814529419;neutral;0.9998648166656494;neutral;0.9976557493209839
1643;di negara tersebut dengan;fw;;;neutral;-;;;neutral;0.9310049414634705;neutral;0.9721149206161499;neutral;0.9998574256896973;neutral;0.998675525188446
1644;KBRI negara tersebut di Indonesia.;fw;;;neutral;-;;;neutral;0.9977912902832031;neutral;0.9961038827896118;neutral;0.9998879432678223;neutral;0.9996602535247803
1645;Jadi kita ngirim Youtuber ke negara tersebut.;fw;;;neutral;-;;;neutral;0.9530921578407288;neutral;0.9957451224327087;negative;0.9970303773880005;neutral;0.9961236119270325
1646;Youtuber disana dikirim ke kita.;fw;;;neutral;-;;;neutral;0.9629881381988525;neutral;0.9865913987159729;neutral;0.9998179078102112;neutral;0.9985003471374512
1647;Tukeran. Terus kayak;fw;;;neutral;-;;;negative;0.9809804558753967;negative;0.853539228439331;neutral;0.9998841285705566;negative;0.9997665286064148
1648;ngeliat Jogja, ngeliat Bali,;fw;;;neutral;-;;;neutral;0.7570499181747437;positive;0.9383854866027832;neutral;0.9997543692588806;positive;0.9814274907112122
1649;ngeliat Jakarta. Lalu ada satu hari;fw;;;neutral;-;;;neutral;0.9888930916786194;positive;0.9951589703559875;neutral;0.9998677968978882;positive;0.9516615271568298
1650;dimana mereka ngumpul semuanya;fw;;;neutral;-;;;neutral;0.7642126679420471;positive;0.6268154978752136;neutral;0.9998621940612793;neutral;0.8083401918411255
1651;ngobrol sama gue.;fw;;;neutral;-;;;neutral;0.9956342577934265;positive;0.9657532572746277;neutral;0.9998206496238708;positive;0.970551073551178
1652;Gue disuruh cerita soal Indonesia ke mereka.;fw;;;neutral;-;;;neutral;0.9796466827392578;neutral;0.9224224090576172;neutral;0.9996851682662964;negative;0.999713122844696
1653;Jadi tuh gue selalu seneng cerita soal Indonesia.;fw;;;positive;kepuasan;;;positive;0.9948834776878357;negative;0.76005619764328;positive;0.9997556805610657;positive;0.9987517595291138
1654;Berarti interes mereka sebenernya tentang Indonesia di gede.;fw;;;neutral;-;;;negative;0.8152652978897095;negative;0.5451202392578125;neutral;0.9998383522033691;positive;0.9341861009597778
1655;Mereka kaget sekali ketika tau Indonesia.;fw;;;neutral;kepuasan;;;negative;0.987647533416748;positive;0.9963616728782654;neutral;0.9925299286842346;negative;0.9993579983711243
1656;Tapi tidak ada wadah;fw;;;neutral;-;;;negative;0.8283193707466125;positive;0.6773971915245056;neutral;0.9997519850730896;negative;0.998275876045227
1657;orang ataupun itu yang;fw;;;neutral;-;;;neutral;0.6261566281318665;positive;0.9863353967666626;neutral;0.999881386756897;negative;0.9994367957115173
1658;mewakilkan. Betul. Makanya;fw;;;neutral;-;;;negative;0.5463808178901672;neutral;0.9216668605804443;neutral;0.9995457530021667;negative;0.9787032008171082
1659;di New York, Jogja tuh;fw;;;neutral;-;;;neutral;0.5205297470092773;neutral;0.997384250164032;neutral;0.9998852014541626;negative;0.999774158000946
1660;banyak cerita tentang Indonesia. Gue liat.;fw;;;neutral;-;;;neutral;0.5596662163734436;neutral;0.8936179280281067;neutral;0.9989873766899109;positive;0.9822117686271667
1661;Gue sempet. Gue mantep ke Instagram. Banyak banget cerita;fw;;;neutral;-;;;positive;0.959086537361145;negative;0.9931061863899231;positive;0.832293689250946;negative;0.9663664698600769
1662;soal Indonesia. Dan banyak yang lucu kok.;fw;;;positive;pujian;;;positive;0.994401752948761;negative;0.7900880575180054;neutral;0.9996901750564575;negative;0.9985717535018921
1663;Jadi gini ya. Gue baru sadar;fw;;;neutral;-;;;negative;0.6144304275512695;positive;0.9342830777168274;neutral;0.9998356103897095;negative;0.9993413090705872
1664;setelah berapa bulan. Kan gue baru bulan-bulan;fw;;;neutral;-;;;neutral;0.7718571424484253;positive;0.686328649520874;neutral;0.9998776912689209;negative;0.9991856217384338
1665;ga lucu tuh disitu. Terus gue bingung. Oh sempet;fw;;;neutral;ketidakpuasan;;;negative;0.9972553849220276;positive;0.9964284300804138;neutral;0.7691575288772583;negative;0.9995846152305603
1666;lu diliat garing gitu?;fw;;;neutral;-;;;negative;0.9974725842475891;positive;0.9860885739326477;negative;0.9998303651809692;negative;0.989989161491394
1667;Sampai sekarang juga masih kadang suka garing.;fw;;;neutral;ketidakpuasan;;;negative;0.992051362991333;negative;0.9878726005554199;negative;0.9945540428161621;positive;0.9964640736579895
1668;Engga. Lu lagi ini.;fw;;;neutral;-;;;negative;0.9925576448440552;positive;0.9950637221336365;neutral;0.9998390674591064;negative;0.991117000579834
1669;Bule-bule. Sepi-sepi.;fw;;;neutral;-;;;negative;0.9961804151535034;positive;0.9956948757171631;neutral;0.9998332262039185;neutral;0.9345980286598206
1670;Open mic ga ada yang ketawa.;fw;;;negative;ketidakpuasan;;;negative;0.9948675632476807;negative;0.9213311672210693;neutral;0.9982784986495972;negative;0.9991986155509949
1671;Gue kuliat. Gue jujur nih.;fw;;;neutral;-;;;negative;0.9348637461662292;positive;0.9964512586593628;neutral;0.9897249937057495;negative;0.9997215867042542
1672;Sebelum gue pergi. Gue agak sedih.;fw;;;negative;ketidakpuasan;;;negative;0.9943562150001526;positive;0.9952240586280823;negative;0.9998724460601807;negative;0.9995856881141663
1673;Gue ngeliat seorang panji;fw;;;neutral;-;;;neutral;0.8910471796989441;positive;0.9837024211883545;neutral;0.9998773336410522;neutral;0.4437711536884308
1674;yang kalo gue liat disini udah sampe;fw;;;neutral;-;;;neutral;0.9500170946121216;positive;0.5784331560134888;neutral;0.999859094619751;negative;0.9910479187965393
1675;di titik satu;fw;;;neutral;-;;;positive;0.43903350830078125;neutral;0.5182734727859497;neutral;0.9998289346694946;neutral;0.9525531530380249
1676;Glora Bung Karno nih bisa nih.;fw;;;neutral;-;;;neutral;0.9597194194793701;positive;0.973360538482666;neutral;0.9998347759246826;neutral;0.9965548515319824
1677;Anjir disana tuh barbar ga jelas.;fw;;;negative;-;;;negative;0.9975110292434692;positive;0.9972077012062073;negative;0.9998749494552612;negative;0.9998551607131958
1678;Sumpah gue ga bohong. Bener.;fw;;;neutral;-;;;positive;0.9951687455177307;positive;0.9971376657485962;neutral;0.9935000538825989;negative;0.9997730851173401
1679;Tapi gue nangkep.;fw;;;neutral;-;;;negative;0.9787487387657166;positive;0.9966551065444946;negative;0.9499093890190125;negative;0.9997252821922302
1680;Anjir. Segini jauh lu perginji.;fw;;;negative;-;;;negative;0.9968346953392029;positive;0.9976074695587158;negative;0.9997938275337219;negative;0.9996166229248047
1681;Demi untuk apa yang;fw;;;neutral;-;;;negative;0.7669537663459778;negative;0.9780469536781311;neutral;0.9998892545700073;positive;0.9789795875549316
1682;lu suka? Ya itu kan;fw;;;neutral;-;;;positive;0.9136132597923279;positive;0.8831413984298706;neutral;0.9998668432235718;positive;0.9462597966194153
1683;misi besarnya untuk memperdayakan Indonesia.;fw;;;negative;pengancaman;;;neutral;0.6125314235687256;negative;0.5612664222717285;positive;0.9917599558830261;positive;0.9976758360862732
1684;Tapi gue juga punya ambisi pribadi.;fw;;;positive;ketidakpuasan;;;negative;0.7669813632965088;negative;0.5695881843566895;negative;0.9997650980949402;negative;0.9900248050689697
1685;Ya pribadinya apa?;fw;;;neutral;ketidakpuasan;;;negative;0.9953828454017639;positive;0.8996833562850952;neutral;0.999233603477478;negative;0.9869913458824158
1686;Rasanya sih semua orang yang stand up;fw;;;neutral;-;;;positive;0.951686680316925;negative;0.9310122132301331;neutral;0.9998729228973389;negative;0.9932138919830322
1687;atau banyak banget orang;fw;;;neutral;-;;;neutral;0.7185942530632019;negative;0.9686815738677979;neutral;0.9998494386672974;negative;0.777515172958374
1688;di Indonesia yang stand up. Pasti pernah terpikir;fw;;;neutral;-;;;positive;0.7606682777404785;negative;0.7407256364822388;neutral;0.9998880624771118;positive;0.998456597328186
1689;bisa ga gue stand up di Amerika. Rasanya gitu deh.;fw;;;negative;ketidakpuasan;;;negative;0.8720284700393677;negative;0.9957149624824524;neutral;0.9998828172683716;negative;0.9995137453079224
1690;Termasuk gue. Bedanya;fw;;;neutral;-;;;neutral;0.7122579216957092;positive;0.9917213320732117;neutral;0.9998679161071777;negative;0.9982854723930359
1691;gue cukup;fw;;;neutral;-;;;neutral;0.8097233176231384;negative;0.9968268275260925;neutral;0.7597982883453369;positive;0.9995880722999573
1692;niat untuk ngelakuin aja. Soalnya;fw;;;neutral;-;;;neutral;0.6574671268463135;positive;0.5984001755714417;neutral;0.999855637550354;negative;0.9998088479042053
1693;gue ga jokoy orang Filipin.;fw;;;neutral;-;;;negative;0.9912431240081787;negative;0.5779860615730286;negative;0.9104817509651184;negative;0.9998151659965515
1694;Si Uncle Roger Najelang;fw;;;neutral;-;;;negative;0.6682950854301453;neutral;0.7408032417297363;neutral;0.9997342228889465;neutral;0.9841390252113342
1695;orang Malaysia. Orang Malaysia.;fw;;;neutral;-;;;neutral;0.5274111032485962;positive;0.6416859030723572;neutral;0.9998841285705566;negative;0.9996117949485779
1696;Si Ronnie Cheng orang Malaysia.;fw;;;neutral;-;;;negative;0.6733866333961487;positive;0.9423221945762634;neutral;0.9998873472213745;negative;0.5519527196884155
1697;Terus kita kan bertanya-tanya;fw;;;neutral;ketidakpuasan;;;neutral;0.8257940411567688;neutral;0.9731516242027283;neutral;0.9998761415481567;neutral;0.48073023557662964
1698;kapan ya orang Indonesia ada di titik seperti itu.;fw;;;neutral;harapan;;;negative;0.9497763514518738;positive;0.7962176203727722;neutral;0.9983487129211426;negative;0.9981210827827454
1699;Tapi gue nengok kanan kiri nunggu yang lain;fw;;;neutral;harapan;;;negative;0.9204889535903931;positive;0.9754164814949036;negative;0.9977425336837769;negative;0.9995623230934143
1700;masa gue mau berharap orang lain?;fw;;;neutral;harapan;;;negative;0.9699966907501221;neutral;0.8024219274520874;neutral;0.9998782873153687;negative;0.9998084902763367
1701;Mereka lagi sibuk di TV.;fw;;;neutral;-;;;negative;0.8309418559074402;positive;0.8953392505645752;negative;0.9998857975006104;neutral;0.9605929851531982
1702;Kiki Sabutri juga.;fw;;;neutral;-;;;neutral;0.9900966882705688;neutral;0.917746901512146;neutral;0.9998335838317871;neutral;0.9991455078125
1703;Bintang Emon Ngonten.;fw;;;neutral;-;;;negative;0.9964853525161743;neutral;0.9512917995452881;neutral;0.9998553991317749;negative;0.9963415265083313
1704;Yaudah gue pikir daripada;fw;;;neutral;-;;;negative;0.9043017029762268;positive;0.9488852620124817;neutral;0.9998800754547119;negative;0.9995558857917786
1705;berharap orang lain, mending gue yang;fw;;;neutral;-;;;negative;0.9282209277153015;negative;0.7255147099494934;neutral;0.9989594221115112;positive;0.8994745016098022
1706;coba aja sendiri. Kebetulan gue punya kemampuannya.;fw;;;positive;harapan;;;neutral;0.9786888957023621;neutral;0.7525067925453186;neutral;0.9998685121536255;negative;0.9968469738960266
1707;Rezekinya juga ada.;fw;;;positive;kepuasan;;;positive;0.9728331565856934;negative;0.7780905961990356;positive;0.9851046204566956;neutral;0.7690759897232056
1708;Projection karirnya udah pas. Yaudah gue berangkat.;fw;;;neutral;-;;;neutral;0.9181750416755676;neutral;0.793601393699646;neutral;0.5490460395812988;positive;0.8965343832969666
1709;Udah itu doang. Jadi secara pribadi;fw;;;neutral;-;;;negative;0.9006893634796143;positive;0.8580169081687927;neutral;0.998432457447052;positive;0.7475678324699402
1710;ambisi gue adalah pengen tau aja bisa ga sih?;fw;;;neutral;harapan;;;neutral;0.7339966893196106;positive;0.9388061761856079;neutral;0.9992524981498718;negative;0.9975094795227051
1711;Dan bisa gue jamin. Gue ya;fw;;;neutral;-;;;neutral;0.9410434365272522;neutral;0.6226418018341064;neutral;0.9998811483383179;positive;0.7815375328063965
1712;bilang sama anak-anak stand up di Indonesia.;fw;;;neutral;-;;;neutral;0.9784364104270935;neutral;0.9944730401039124;neutral;0.9998923540115356;negative;0.9937153458595276
1713;Kayak disini kan ada Herman Jonek, Vilo,;fw;;;neutral;-;;;neutral;0.9928972721099854;neutral;0.7163258194923401;neutral;0.9998821020126343;neutral;0.6832246780395508
1714;segala macem. Gue bilang sama mereka;fw;;;neutral;-;;;negative;0.8958994746208191;positive;0.9953757524490356;neutral;0.9928960204124451;negative;0.9997993111610413
1715;ke anak-anak stand up;fw;;;neutral;-;;;neutral;0.9455207586288452;neutral;0.962556779384613;neutral;0.9998759031295776;neutral;0.84103924036026
1716;di Indonesia, ga usah takut;fw;;;positive;harapan;;;positive;0.9663737416267395;positive;0.9851945042610168;neutral;0.9998860359191895;negative;0.9915245175361633
1717;kesana. Kita kesana dengan;fw;;;neutral;-;;;neutral;0.5439139008522034;neutral;0.4913540780544281;neutral;0.9998326301574707;positive;0.895759642124176
1718;bahasa Inggris adanya,;fw;;;neutral;-;;;neutral;0.8100206851959229;neutral;0.9438427090644836;neutral;0.9996011853218079;positive;0.8423978686332703
1719;sangat bisa bertarung. Menang bahkan.;fw;;;positive;harapan;;;positive;0.9906993508338928;negative;0.9867190718650818;neutral;0.9980339407920837;positive;0.9995525479316711
1720;Di New York tuh banyak banget yang ga lucu, ga mau belajar,;fw;;;negative;hinaan;;;negative;0.9977245926856995;negative;0.9965323209762573;negative;0.9108834266662598;negative;0.9997172951698303
1721;ga nunggu, dan segala macem ya.;fw;;;neutral;-;;;neutral;0.5648658275604248;positive;0.968165397644043;neutral;0.9996019005775452;negative;0.9997101426124573
1722;Dan mereka bisa takut. Tapi bahasa Inggris gue biasa aja.;fw;;;negative;ketakutan;;;negative;0.9980243444442749;positive;0.9975430965423584;neutral;0.8608266711235046;negative;0.9997738003730774
1723;New York itu kota yang saking;fw;;;neutral;-;;;neutral;0.7757080793380737;positive;0.8501758575439453;neutral;0.9982427358627319;positive;0.9984399676322937
1724;banyaknya imigrannya. Mereka tuh terbiasa;fw;;;neutral;-;;;positive;0.8304837942123413;positive;0.9717965126037598;neutral;0.9998841285705566;negative;0.9995734095573425
1725;denger broken English. Ngerti mereka.;fw;;;neutral;-;;;negative;0.9914223551750183;positive;0.9943113327026367;neutral;0.9998291730880737;negative;0.9998266100883484
1726;Gue waktu awal-awal khawatir grammar gue bener ga;fw;;;negative;ketidakpuasan;;;negative;0.8076668381690979;positive;0.9753221273422241;neutral;0.9998100399971008;negative;0.9998111128807068
1727;ayah gitu. Dan mereka tidak menghina loh.;fw;;;positive;pujian;;;positive;0.9949837923049927;positive;0.8231173753738403;neutral;0.9994845390319824;positive;0.9982873797416687
1728;Iya, engga engga. Mereka biasa banget.;fw;;;neutral;-;;;negative;0.9971632361412048;negative;0.9675263166427612;neutral;0.9995222091674805;negative;0.9997854828834534
1729;Mereka tuh tidak menghina kayak kita di Indonesia disini tuh;fw;;;positive;pujian;;;positive;0.9804532527923584;positive;0.9592162370681763;neutral;0.9996157884597778;negative;0.9715889692306519
1730;kalo kita ngomong Inggris kita hina ini. Udah bukan;fw;;;negative;ketidakpuasan;;;negative;0.9980884194374084;positive;0.9981580376625061;negative;0.9998063445091248;negative;0.9998058676719666
1731;bahasa kita, dia hina pula kita.;fw;;;negative;ketidakpuasan;;;negative;0.9982103109359741;positive;0.9976669549942017;negative;0.999893307685852;negative;0.9998260140419006
1732;Orang sana bahasanya mereka dia ga hina.;fw;;;positive;pujian;;;positive;0.971613883972168;positive;0.9976356029510498;neutral;0.9992559552192688;negative;0.9998310804367065
1733;Biasa aja. Orang waktu awal-awal,;fw;;;neutral;-;;;negative;0.9961913824081421;positive;0.9782440662384033;neutral;0.9998218417167664;negative;0.9995336532592773
1734;gue tuh ketika stand up, di New York tuh masih suka yang;fw;;;neutral;-;;;positive;0.8215099573135376;negative;0.8120139241218567;positive;0.9935976266860962;positive;0.9965400695800781
1735;eh, maksud gue,;fw;;;neutral;-;;;negative;0.8219028115272522;positive;0.707846999168396;neutral;0.9996322393417358;negative;0.9996441602706909
1736;eh gimana sih? Masih suka kayak gitu.;fw;;;neutral;ketidakpuasan;;;negative;0.978168785572052;positive;0.8772184252738953;neutral;0.9998021721839905;positive;0.9889793395996094
1737;Lu nyari vocabulary-nya.;fw;;;neutral;-;;;neutral;0.992966890335083;positive;0.926256000995636;neutral;0.9998455047607422;positive;0.6156886219978333
1738;Terus gue ditanya sama;fw;;;neutral;-;;;negative;0.7486900687217712;neutral;0.4986974000930786;neutral;0.9998314380645752;negative;0.9931822419166565
1739;temen gue yang komika orang New York,;fw;;;neutral;-;;;neutral;0.9882246255874634;neutral;0.9484104514122009;neutral;0.9991838335990906;neutral;0.9756709337234497
1740;ada Josh sama Kevin,;fw;;;neutral;-;;;neutral;0.9946526288986206;positive;0.446097731590271;neutral;0.9997720122337341;positive;0.8889989852905273
1741;Josh Palets sama Kevin Sanchez.;fw;;;neutral;-;;;neutral;0.9973624348640442;neutral;0.4183769226074219;neutral;0.9996953010559082;neutral;0.9078928828239441
1742;Kendala lu apa? Gue bilang gue takut grammar;fw;;;neutral;ketakutan;;;negative;0.9869802594184875;positive;0.9973588585853577;negative;0.9993409514427185;negative;0.9997697472572327
1743;gue jelek. Ga ada yang peduli bro, kata dia.;fw;;;positive;pujian;;;negative;0.9975767731666565;positive;0.9986212253570557;negative;0.9998683929443359;negative;0.9998562335968018
1744;Ini semua broken English. Dan bener, lama-lama gue;fw;;;neutral;-;;;negative;0.9970346689224243;positive;0.9597151279449463;negative;0.9997398257255554;negative;0.9998143315315247
1745;liat ada orang yang, orang Chinese;fw;;;neutral;-;;;neutral;0.6276371479034424;positive;0.987643837928772;neutral;0.9997372031211853;negative;0.9998419284820557
1746;Inggrisnya ga gitu rapih gitu,;fw;;;neutral;-;;;negative;0.9947978258132935;neutral;0.4218663275241852;negative;0.9995331764221191;negative;0.9997629523277283
1747;tapi ketawa-ketawa aja. Ada orang;fw;;;neutral;kepuasan;;;negative;0.9933218359947205;positive;0.9942060112953186;neutral;0.9942792654037476;negative;0.999607503414154
1748;Meksiko yang;fw;;;neutral;-;;;positive;0.5162849426269531;negative;0.9063811302185059;neutral;0.9997859597206116;negative;0.892535388469696
1749;bahasa Inggrisnya ga terlalu rapih, tapi ketawa-ketawa aja.;fw;;;neutral;-;;;negative;0.8611875176429749;positive;0.9968388080596924;neutral;0.9958959817886353;negative;0.9998142123222351
1750;Gue sadar bahwa New York tuh banyak banget;fw;;;neutral;-;;;positive;0.8630212545394897;positive;0.7208350300788879;neutral;0.9998347759246826;negative;0.8771054744720459
1751;pendatangnya udah terbiasa denger broken English.;fw;;;neutral;pujian;;;negative;0.5084877014160156;positive;0.5723406672477722;neutral;0.9998453855514526;negative;0.9997934699058533
1752;Mereka ngerti maksudnya apa.;fw;;;positive;pujian;;;negative;0.555862545967102;positive;0.9974138736724854;neutral;0.9997552037239075;negative;0.9995607733726501
1753;Sehingga grammar tuh ga terlalu jadi masalah.;fw;;;positive;kepuasan;;;positive;0.9433064460754395;positive;0.9967939257621765;neutral;0.732442319393158;negative;0.9997276663780212
1754;Nah,;fw;;;neutral;-;;;neutral;0.6566164493560791;negative;0.4587307870388031;neutral;0.9997326731681824;negative;0.9954596161842346
1755;akhirnya dengan berada di New York, gue tuh;fw;;;neutral;-;;;neutral;0.78028404712677;neutral;0.9921114444732666;neutral;0.9998577833175659;negative;0.9996711015701294
1756;punya kesimpulan bahwa kita tuh bisa mendunia.;fw;;;positive;pujian;;;positive;0.8778809309005737;negative;0.5667038559913635;neutral;0.9998824596405029;negative;0.9933621883392334
1757;Cuman, usahanya menuju kesana;fw;;;neutral;harapan;;;positive;0.7198245525360107;positive;0.9926106333732605;neutral;0.9995842576026917;positive;0.5555320382118225
1758;mesti dipancing. Dan itulah kenapa gue kesana;fw;;;neutral;-;;;negative;0.8230385184288025;positive;0.9350482821464539;neutral;0.9998407363891602;negative;0.9994339346885681
1759;gue pengen mancing.;fw;;;neutral;-;;;neutral;0.9837480187416077;negative;0.6545017957687378;neutral;0.9997908473014832;negative;0.6329047083854675
